S.NO,Name,Address,Phone,Email,Category,Type
256,"Gmers Medical Collge AND General Hospital, Gotri","Blood Centre, GMERS General Hospital & Medical College, Gotri, Vaododara, Vadodara, Dist. Vadodara",9825436699,bbgmersmcgv@gmail.com,Govt.,Camps
257,Gujarat Methodist Church Cardiac Care AND Research Society Blood Centre.Nadiad,"Blood Centre,Gujarat Methodist Church Cardiac Care & Research Society ,Mission Road,Nadiad., Nadiad, Dist. Kheda",6358924264,bloodbank@ddmmheart.org,Charitable/Vol,Camps
258,"H.K. Voluntary Blood Centre, Patan","H.K.VOLUNTARY BLOOD CENTRE,4 TH FLOOR RAMESHWAR ICONIC,B/H HEAD POST OFFICE,B/H V.K.BHULA SCHOOL,PATAN, 4 TH FLOOR,RAMESHWAR ICONIC,B/H.V.K.BHULA SCHOOL,B/H HEAD POST OFFICE,PATAN, Patan, Dist. Patan",9898097655,hkvoluntarybloodbank@gmail.comQ,Private,Camps
259,"Indian Red Cross Soceity, Amreli","Mahatma Muldas Red Cross Bhavan, Civil Hospital Campus, Amreli, , Amreli, Dist. Amreli",9426914677,redcrossbloodbankamreli@gmail.com,Red Cross,Camps
260,Indian Red Cross Society Bhavnagar  District Branch,"Diwanpara, Bhavnagar, Bhavnagar, Dist. Bhavnagar",9825566642,ircsbvn@yahoo.com,Red Cross,Camps
261,"Indian Red Cross Society Blood Centre, Ahmedabad","Kiran Chudgar Ahmedabad Red Cross Shatabdi Bhawan, 6-7 Vrundavan Park, Nr. Navrang Circle, Sherdil Red Cross Marg, Navrangpura,Ahmedabad, Ahmedabad, Dist. Ahmedabad",9099917781,redcross.ahmedabad@gmail.com,Red Cross,Camps
262,"Indian Red Cross Society Blood Centre, Bharuch","Redcross Blood Bank Sevashram Hospital Compound.Panchbatti, Bharuch, Dist. Bharuch",9913823700,redcrossbloodbank_bch@yahoo.in,Red Cross,Camps
263,"Indian Red Cross Society Blood Centre , Gir Somnath District Branch","Indian Red Cross Society,Gir Somnath District branch,Veraval - Patan Joint Municipality, Dr. Babasaheb Ambedkar Hall, Near Aawas Yojna, Geetanagar - 1, Junagadh Road, Inside Bapa Sitaram Madhuli Road, Veraval, Dist. Gir Somnath, Veraval, Dist. Gir Somnath",7600824365,redcross.girsomnath@gmail.com,Red Cross,Camps
264,"Indian Red Cross Society Blood Centre, Kalol","Khuni Bunglow, Char Rasta,kalol, Kalol, Dist. Gandhinagar",9067678454,redcross.kalol@gmail.com,Red Cross,Camps
265,"Indian Red Cross Society Blood Centre, Nadiad","Shri H.V.Desai Blood Bank,Red Cross Building, Santram Road, Nadiad, Nadiad, Dist. Kheda",9825190351,ircsnadiad@gmail.com,Red Cross,Camps
266,Indian Red Cross Society Blood Centre Petlad,"Blood Bank,Indian Red Cross Society,Nr. Ranchhodji Temple At Petlad, Petlad, Dist. Anand",9925183611,ircspetlad@gmail.com,Red Cross,Camps
267,Indian Red Cross Society Dang,"Blood Centre Ahwa Dang, Dang, Dist. Dang","2631296554, 7984772244",ircsahwa@gmail.com,Red Cross,Camps
268,Indian Red Cross Society   Mahisagar District Branch,"3rd Floor, District Panchayat Building, Lunawada., MAHISAGAR, Dist. Mahisagar",9426315088,c.margesh@yahoo.com,Red Cross,Camps
269,"Indian Red Cross Society,Tarapur Taluka","SMT.HANSABN HIRALAL RED CROSS BHAVAN,NR. OLD TUBE WELL, STATION ROAD, Tarapur, Dist. Anand","02698-255005, 6351998916",ircstarapur@gmail.com,Red Cross,Camps
270,"Indu Voluntary Blood Centre, Anand","Indu Voluntary Blood Bank managed by Charotar Health Research Foundation Trust,  3rd Floor, Jems Plaza, Near D. N. High School, Station Road, Anand, Dist. Anand",9824436524,indu99email@gmail.com,Charitable/Vol,Camps
271,Institute Of Kidney Disease And Research Centre,"Blood centre, The Institute of Kidney Disease & Research Centre,  Manjushri mill Compound, Asarwa, Ahmedabad, Dist. Ahmedabad",7949017000,ikdrcbb@gmail.com,Charitable/Vol,Camps
272,JEEVANDEEP BLOOD CENTER RAJKOT,"201, West Gate Plus, Opp Amruta Hospital, Raiya circle, 150 feet ring road, RAJKOT, Dist. Rajkot",9537210108,Jbc.helpdesk@tscga.in,Charitable/Vol,Camps
273,JIVAN VOLUNTARY BLOOD CENTRE RUN BY SANSKRUTI FOUNDATION,"R.S. NO.735/1,PLOT NO. 1 TO 4, B2, 4th FLOOR, MEDIPOLIS, DEESA HIGHWAY, PALANPUR, DIST.BANASKANTHA, ., PALANPUR, Dist. Banas Kantha",9924255050,jivanbloodcentre@gmail.com,Charitable/Vol,Camps
274,"Kiran Voluntary Blood Centre, Dahod","Kiran Voluntary Blood Bank,  Nr. Hotel vrundavan, Station Road, Dahod, Dist. Dahod","9825321212, 98250246212, 02673-243777",kiranbloodbank@gmail.com,Private,Camps
275,Kusumben Dhirajlal Charitbale Hospital Blood Centre,"K.D. Hospital, Vaishnodevi Circle, Sardar Patel Ring Road, S. G. Highway, Ahmedabad, Dist. Ahmedabad",8238074955,bloodbank@kdhospital.co.in,Charitable/Vol,Camps
276,"L.G. Hospital Blood Centre, Ahmedabad","1st Floor, New Buildring, Sheth L.G. Muncipal General Hospital & Blood Bank,  Maninagar, Ahmedabad, Gujarat, Ahmedabad, Dist. Ahmedabad","9925111141, 7567802565",lghbloodbank@gmail.com,Govt.,Camps
277,Lifecare Blood Centre,"1 st & 2nd floor, Akshar Arcade ,Narsang mandir to Avni Chokadi Road, Morbi, Morbi, Dist. Morbi",9023544444,lifecarebloodcenter@gmail.com,Charitable/Vol,Camps
278,Lifeline Blood Centre,"plot no. 2&13, 1st and 2nd floor, , beside dr. kharod surgical hospital, opp. doctor house, bus stand road, surendranagar, Dist. Surendranagar",9979072328,lifelinebloodbank.snr@gmail.com,Charitable/Vol,Camps
279,"Life Line Blood Centre,BOPAL","First Floor, Sagrika Aparment, Nr, Sarkari Tubewell Swaminarayan Temple, Bopal, Ahmedabad, Ahmedabad, Dist. Ahmedabad",9507247365,lifelinebloodcentre.bopal@gmail.com,Charitable/Vol,Camps
280,"Lions Club of Baroda Blood Centre, Vadodara","Lions Club of Baroda Blood Centre FF-3, Pur Prime, Nr Natubhai Circle, Above Indusind Bank, Vadodara 390021, Vadodara, Dist. Vadodara",9825616685,barodabloodbank@gmail.com,Private,Camps
281,"Lok Samarpan Raktadan Kendra, Surat","Lok Samarpan Raktadan Kendra Blood Bank,  15, Miranagar, Opp.Saurastra Bhavan, Mini Bazar, Varachha Road, Surat, Dist. Surat",9974242140,lsbloodbank@gmail.com,Charitable/Vol,Camps
282,"Mayur Blood Centre (Vol.),  Mandvi","Mayur Blood Bank (Vol.) Pathology Laboratory,  Azad Chowk, , Mandvi, Dist. Kachchh",9825422524,mayurlabmandvi@gmail.com,Private,Camps
283,Medical Superintendent Of Gmers Medical College And General Hospital Sola Ahmedabad,"Blood Bank, GMERS Medical College & General Hospital,  B-Block, First Floor, General Hospital, Near Gujarat High Court, S.G.Highway, Sola, Ahmedabad, Dist. Ahmedabad",7567897503,solacivilbloodbank@yahoo.in,Govt.,Camps
284,"Military Hospital Blood Centre, Ahmedabad","Cantonment Area, Shahibaug Ahmedabad, Hanuman Camp, Ahmedabad, Dist. Ahmedabad",9599857489,mhadibloodcentre@gmail.com,Govt.,Camps
285,M/S. Cims Hospital Pvt.Ltd.,"M/s. CIMS Hospital Pvt.Ltd., Plot No. 67/1, Opp. Panchamrut Bunglows, Nr. Shukan Mall, Science City Road, Sola, AHMEDABAD, Dist. Ahmedabad",7948052355,bloodstorage@cimshospital.org,Private,Camps
286,"M. U. Pethani Voluntary Blood Centre, Palanpur","Bhagwan Mahavir Seva Samiti Sanchalit  Mafatben Uttamlal Pethani Voluntary Blood Bank, Baradpura, Near Delhi Gate, Palanpur, ., Banas Kantha, Dist. Banas Kantha",9426749265,pethanibloodbank790@gmail.com,Charitable/Vol,Camps
287,NADIAD RAKTDAN KENDRA BLOOD CENTRE,"2nd Floor, Karmaveer Samrajya Complex, Opp. Sparsh Orthocare Hospital, Nadiad, Kheda, Dist. Kheda",9227596201,nrkbloodbank19@gmail.com,Private,Camps
288,"Nathani Voluntary Blood Centre,  Rajkot","Nathani Voluntary Blood Bank & Blood Tranfusion 11 Tejash Building,20/22 New Janpath Plot, Rajkot, Dist. Rajkot","9227600111, 9825912518, (0281) 2480659",nathanikd@gmail.com,Charitable/Vol,Camps
289,"Navdeep Blood Centre,  Junagadh","Navdeep Blood Bank,  Sankalp Complex, First Floor,  S.T. Road,opp Dr. Chikkhalia Hospital, Junagadh, Dist. Junagadh",9825366141,drnvpatel9@yahoo.in,Charitable/Vol,Camps
290,Navkar Charitable Trust Blood Centre Palitana,"2nd floor, city point, oppsite mansinjhji hospital, taleti road Palitana,  Palitana, Dist. Bhavnagar",8347837191,navkarbloodcenter@gmail.com,Charitable/Vol,Camps
291,"New Civil Hospital, Surat","Blood Centre, The New Civil Hospital, Outside Majura Gate, , Surat, Dist. Surat",6357078715,bloodbanknchs@gmail.com,Govt.,Camps
292,N. M. Patel Blood Bank And Dr.A.C.Mapara Blood Component Center Bilimora,"Blood Bank, Lions Club Billimora Charitable Foundation Managed by N.M. Patel Blood Bank,  2nd Floor, Shivdeep Complex, Near Sardar Market, Feeder Road, Talodh-Bilimora, Ta. Gandevi, Bilimora, Dist. Navsari","9428020522, 9825145894, 02634-285913",nmpbbblm1991@gmail.com,Charitable/Vol,Camps
293,"Nukem Blood Centre, Vapi","Nukem Blood Bank & Haria Rotary Hospital,  Plot no. 363A-364, G.I.D.C., Vapi, Dist. Valsad","7069956050, 9819641652, 0260- 2430654",info@hariarotaryhospital.com,Charitable/Vol,Camps
294,"Patel Voluntary Blood Centre, Modasa","Patel Voluntary Blood Bank,  Dr. Yogesh Upadhyay's Hospital, Siddhi Vinayak Comlpex, Shamlaji Road,  Modasa, Arvalli, Dist. Aravalli",9898651107,bhavin1359@yahoo.com,Private,Camps
295,"Polycab Social Welfare Foundation Blood Centre, Halol","Polycab Social Welfare Foundation Blod Centre, Managed by Halol Mahajan Arogya Mandal & Indu Health Research Foundation, opp. S. T. Stand, Halol, Dist. Panchmahal, Dist. Panchmahal, Panch Mahals, Dist. Panch Mahals",9925138654,pswfbloodcentre2022@gmail.com,Private,Camps
296,Prathama Blood Centre Nikol Ahmedabad,"6th  Floor Kothiya Hospital Nikol Gam Road, Nikol ,Ahmedabad, Ahmedabad, Dist. Ahmedabad",7359900101,info.pbc@prathama.org,Charitable/Vol,Camps
297,"Rajabhai Patel, Ima, Gandhidham","Indian Medical Association Gandhidham Trust (Regd.),  Rajabhai Patel Blood Bank, Gandhidham Trust, Near Gurukul Road, Gandhidham, Dist. Kachchh","9426767481, 02836-257366/ 257323",imabloodbank@yahoo.co.in,Charitable/Vol,Camps
298,"Raktdan Kendra Voluntary Blood Centre, Godhra","Raktdan Kendra Voluntary Blood Bank,  Modi ni wadi No. 3, Nr. Nehru Garden Godhra, , Panch Mahals, Dist. Panch Mahals",9825038553,mraktdan@gmail.com,Charitable/Vol,Camps
299,Sankalp Voluntary Blood Centre,"Plot No 3 4 5,43-44/B/1P, Parul Complex, Near Highway Road, ., Deesa, Dist. Banas Kantha","02744-227094, 9104684701",spldisa39@gmail.com,Charitable/Vol,Camps
300,"Sardar Patel Voulantary Blood Centre, Keshod","Sardar patel voulantary Blood Bank, 1st Floor Sheetal Building, Ramnagar station road, station road, keshod., Keshod, Dist. Junagadh",9327477177,sardarpatelbb@gmail.com,Charitable/Vol,Camps
301,Sardar Vallabhbhai Patel Blood Centre,"201,. Shrinathji Complex, Ramnagar Char Rasta, Rander Road, Surat, Dist. Surat",8788482015,svpbbsurat@gmail.com,Charitable/Vol,Camps
302,Sardar Vallabhbhai Patel Institute Of Medical Science And Research Blood Centre,"Sardar Vallabhbhai Patel Instituite of Medical Sciences & Research Blood Bank (The Trustee of AMC Medical Education Trust), ,  Ellisbridge, Ahmedabad, Ahmedabad, Dist. Ahmedabad",9924480412,svpbloodbank@gmail.com,Charitable/Vol,Camps
303,"Sarvodaya Charitable Trust Blood Centre, (Supratech Voluntary Blood Centre), Ahmedabad","Sarvodaya Charitable Trust blood bank, (Supratech Voluntary Blood Bank) Mile Stone Building, 1st Floor,  Nr. Drive IN Cinema, Opp. T. V. Tower, Thaltej, NR DRIVEIN CINEMA. THALTEJ, Ahmedabad, Dist. Ahmedabad",9825023700,supratech@yahoo.com,Charitable/Vol,Camps
304,Saurashtra Voluntary Blood Centre Rajkot,"Shashikunj commercial complex,  621, Mangal Park, Nirmalaconvent road,  Near Madhi Chowk, Rajkot, Dist. Rajkot",9824296311,svbbrjt@gmail.com,Charitable/Vol,Camps
305,"S.B. P.P. Co-Op. Centre Foundation Blood Centre, Killa  Pardi","Blood Bank, S.B. P.P. Co-Op. Bank Foundation Blood Bank of Manav Arogya Seva Kendra,  Jesal Co-Operative and Housing Society,  Nr. Pardi Hospital, National Highway-No.-8,Killa Pardi, valsad, Dist. Valsad",9727248274,sbppbb@rediffmail.com,Charitable/Vol,Camps
306,Shalby Hospital,"Shalby Hospital Blood Bank, 9th Floor, Shalby Hospital, Opp. Karnavati Club, S. G. Highway, Ahmedabad, Dist. Ahmedabad","9924077714, 8141605027, 7778057717",bloodbank@shalby.org,Private,Camps
307,SHIVANSH VOLUNTARY BLOOD CENTRE AND APHERESIS CENTRE,"3RD FLOOR, VED COMPLEX, NEAR SHAKTI PARATHA HOUSE, SAHAKARI JIN ROAD, HIMMATNAGAR, SABARKANTHA, Himmatnagar, Dist. Sabar Kantha",9510958087,Shivansh.bloodcenter@gmail.com,Charitable/Vol,Camps
308,"Shraddhadeep Pathology Lab  AND Blood Centre, Gandhinagar","Shraddhadeep Pathology Lab  & Blood Bank,   Shiv Complex , Plot no. 329, 1st Floor,  Sector-16, Gandhinagar, Dist. Gandhinagar","93282 37138, 9824833440, 079-23222474",shraddhablood@gmail.com,Private,Camps
309,Shree Blood Center,"Parmeshwar Plaza,5th floor,  7/8 savsarplot morbi, Morbi, Dist. Morbi",9726910558,shreebloodcenter@gmail.com,Charitable/Vol,Camps
310,"Shree Ram Blood Centre, Porbandar","Shree Ram Blood Bank,  Star Compound,  M.G. Road, M.G.Road, Porbandar , Dist. Porbandar",9427426099,jaypal.bloodbank@gmail.com,Charitable/Vol,Camps
311,"Shree Swaminarayan Sankar Dham Trust Sanskar Blood Centre, Morbi","Shree Swaminarayan Sankar Dham Trust Sanskar Blood Bank,  Sanala Road, Morbi, Dist. Morbi","9714940600, 02822-225733",sanskarbloodbank@gmail.com,Charitable/Vol,Camps
312,"Shri Jivanprakash Foundation Voluntary Blood Centre, Junagadh","Shri Jivanprakash Foundation Voluntary Blood Bank, Vikram Commercial Complex,  Sardar Baug Road, Junagadh , Dist. Junagadh",982522112,drgkgajera@gmail.com,Charitable/Vol,Camps
313,SIMS Blood center,"4th Floor SIMS blood center, PSM hospital, Swaminarayan  Gurukul campus, Ahmedabad -Mehsana Highway, Kalol, Gandhinagar, Gandhinagar, Dist. Gandhinagar",9879648862,simsbloodcentre@gmail.com,Charitable/Vol,Camps
314,"Smt. Puriben  Popat Lakha Blood Centre , Vapi","Blood Bank, Smt. Puriben  Popat  Lakha Lions Blood Bank sanchalak Lions Club of Vapi Udyognagar Charitable Trust, Plot No : 366/A, Prashant Park,  Near Jain Tample, G.I.D.C, vapi, Dist. Valsad",9825132643 8755849606 7567294516,lionsbloodbank03@gmail.com,Charitable/Vol,Camps
315,"Smt. Sonalien A. Shah Blood Centre, Omkar Paramedical Trust, Botad","Blood Bank, Omkar Paramedical Charitable Trust Organised Smt. Sonaliben A.Shah Blood Bank,   2nd Floor, Patel Chamber,Paliad Road,  Botad, Dist: Botad, Botad, Dist. Botad","9227200789,9824861800,0278-255361/256099",omkarbloodbank@gmail.com,Charitable/Vol,Camps
316,Surat Healthcare Foundation,"Blood Bank, Aminaben Gangat & Ayeshaben Patel Blood Bank,  Surat Health Care Foundation,  C/o. Lokhat Hospital, Nr. Rampura Petrol Pump,  Rampura, BADATWADI, RAMPURA, Surat, Dist. Surat",9825371571,bloodbankshf@yahoo.com,Charitable/Vol,Camps
317,Sushrusha Blood Centre Navasari,"3rd floor, Sushrusha General Hospital, Behind Ashapuri Mandir, sadar chouk, vijalpore, Jalalpore, Dist. Navsari","02637 258677, 9426888293, 9145258677",mahi.81.mc@gmail.com,Charitable/Vol,Camps
318,Unity Blood Centre Surat,"201, Rhythm house, near venue super specialty Hospital, Lal darwaja, Surat, Dist. Surat",9537975446,unitybloodcenter.surat@gmail.com,Charitable/Vol,Camps
319,"Visnagar Voluntary Blood Centre, Visnagar","Jivanjyot Charitable Trust Sanchalit  Visnagar Voluntary Blood Bank,  1st Floor, Municipal Maket,  M. N. College Road, Visnagar, Mahesana, Dist. Mahesana","9712907002, 9824596513, 02765-220903",jjctvvbb@rediffmail.com,Charitable/Vol,Camps
320,Zydus Blood Centre,"civil hospital campus, station road, DAHOD, Dist. Dahod",8141368126,dahod.zydusbloodbank@gmail.com,Private,Camps
321,Zydus Hospitals And Healthcare Research Pvt. Ltd,"PLOT NO. 232, BEFORE SOLA OVER BRIDGE, THALTEJ, Ahmedabad, Dist. Ahmedabad",9825260994,jayeshtrivedi@zydushospitals.com,Private,Camps
322,Jankalyan Blood Centre,"Gadgil Patangan, Nalegaon, , Ahmednagar, Dist. Ahmadnagar",8378958696,jankalyanbloodbanknagar@rediffmail.com,Charitable/Vol,Camps
323,Jankalyan Rakta Pedhi,"1st Floor,Vivekanand Hospital, Desaipura, Nandurbar, Dist. Nandurbar","9096175855,(02564)226934",drrajeshkeswani@gmail.com,Charitable/Vol,Camps
324,"Jaslok Hospital And Research Centre, Blood Centre","15,Dr.G.Deshmukh Marg, Mumbai, Dist. Mumbai",9320918214,bloodbank.officer@jaslokhospital.net,Charitable/Vol,Camps
325,Jawahar Medical Foundation Blood Centre,"Hutatma Shririshkumar Nagar, Opp.Jawahar Suthgirani, Morane, Sakri Road, A.C.P.M. COLLEGE MORANE DHULE, Dhule, Dist. Dhule",9011125456,acpm@rediffmail.com,Charitable/Vol,Camps
326,"Jeevandai Blood Centre, Components AND Apheresis Centre Beed","1st floor Aman Plaza, Barshi Road, Beed, Beed, Dist. Bid",9762217658,Jeevandaibloodbank12@gmail.com,Charitable/Vol,Camps
327,Jeevandhara Buldana Urban Blood Centre Run And Managed By Shree Charitable Trust,"1st floor, DSD City Mall,  above bank of India, Tehsil to Stadium Road , Buldana , Buldana, Dist. Buldana",9922527555,maheshbhakkad@gmail.com,Charitable/Vol,Camps
328,Jeevan Jyoti Blood Centre AND Component,"J-12, West High Court Road, Opp. Bank of Baroda, Laxmi Nagar, Nagpur, Nagpur, Dist. Nagpur","9422113811,0712-2231660 / 2230876",jjbb21@hotmail.com,Charitable/Vol,Camps
329,Jeevan Surabhi Blood Centre,"Laxmi Nagar, Kargaon Road, Chalisgaon, Dist. Jalgaon",9422383322,jsbb@live.in,Charitable/Vol,Camps
330,Jijai Blood Centre Components Laboratory And Apheresis Centre C,"Sambhaji Umrekar Heights, Shahaji Market,Shivaji Nagar, Nanded, Dist. Nanded",9527283838,jajaibloodcentre@gmail.com,Charitable/Vol,Camps
331,Jupiter Hospital Blood Centre,"Jupiter Hospital, Second Floor, South Block, Eastern Express Highway, Service Road, Near Voltas,  Naupada, Thane, Dist. Thane",9869745596,mohamad.amir@jupiterhospital.com,Private,Camps
332,Kai Wamanrao Oka Rakta Kendra,"VISHNU NAGAR,GHANTALI MANDIR RD,NAUPADA, THANE, Thane, Dist. Thane",9833785529,woraktapedhi@gmail.com,Charitable/Vol,Camps
333,Kalpataru Bahuuddeshiya Sansthas Lokmanya Blood Centre Gondia,"Sheet No.50B, Plot No.839/1, Near Sai Sonography, Hanuman Mandir Chowk, Civil Line, Gondia, Dist. Gondiya",9552556418,lokmanyabb@gmail.com,Charitable/Vol,Camps
334,"Kanthak Sevabhavi Sanstha, New Life Blood  Centre, Parbhani","Plot. No.-22, S.No - 389 & 394, Beside Gurudwara, Station Road, Parbhani, Dist. Parbhani",9823093235,newlifebloodbank@gmail.com,Charitable/Vol,Camps
335,"K.B.Bhabha Muncipal General Hospital, Blood Centre","1st floor, N.38, R.K.Patkar Marg, Bandra (W), Mumbai, Dist. Mumbai",9321152854,bhabha.bandra@gmail.com,Govt.,Camps
336,K.E.M. Hospital Blood Centre,"Acharya Donde Marg, Parel, Mumbai - 400012, Mumbai, Dist. Mumbai",2224107016,bloodbankkem@gmail.com,Govt.,Camps
337,Keshavsmruti Pratishthan Sanchalit Madhavrao Golwalkar Swayamsevi Raktpedhi,"OPP. GOLANI MARKET, JALGAON, DR. ANIL ACHYARYA BHAVAN, Jalgaon, Dist. Jalgaon",9422564079,mgsr98@gmail.com,Charitable/Vol,Camps
338,Kohinoor Hospital Blood Centre,"Upper basement, room no - 29 to 43,Konihoor City, Kirol road, off L.B.S Marg, Kurla (w), Mumbai, Dist. Mumbai","9029326895,022 - 67556737 / 38",sarfaraz.chowdhary@kohinoorhospitals.in,Private,Camps
339,Kokilaben Dhirubhai Ambani Hospital Navi Mumbai Blood Centre,"Room No. 01016, 1st floor, Reliance Hospital, Plot No. X-8, TTC Industrial Area, MIDC, Thane, Room No. 01016, 1st floor, Reliance Hospital, Plot No. X-8, TTC Industrial Area, MIDC, Thane, Thane, Dist. Thane",7304467774,Bloodbank.rhnm@kokilabenhospitals.com,Charitable/Vol,Camps
340,Konkan Mitra Mandal Medical Trust'S Sahyadri Speaciality Hospital Blood Centre,"Plot No-30 C, Erandvane, Karve Road, Pune, Dist. Pune",9673338405 / 9850540682 / 9422548833,labqm@sahyadrihospitals.com,Charitable/Vol,Camps
341,"Krishna Hospital AND Medical Research Centre, Blood Centre","Poona Banglore(NH4)Highway Near Debhewadi Road, Tal- Karad, , Poona Banglore(NH4)Highway Near Debhewadi Road, Tal- Karad, , Satara, Dist. Satara",9420463203,khbloodbank123@gmail.com,Charitable/Vol,Camps
342,"Laksh Foundation, Lifeline Blood Centre, Nashik","Suyojit Commercial Complex, Surve No. 804/A-123, Shop No L9B, Lower Ground Floor, Mumbai Agra Highway, Mumbai Naka, Nashik, Nashik, Dist. Nashik",8308400083,lifelinebloodbanknashik@gmail.com,Charitable/Vol,Camps
343,"Late Balasaheb Datye, Lions Blood Centre, Ichalkaranji","5/468, Datye Mala, Lions Park,  Ichalkaranji, Tal-Hatkanangale, Hatkanangale, Dist. Kolhapur","9860858918,0230-2436130",lbbank89@gmail.com,Charitable/Vol,Camps
344,Leelavati Blood Centre,"John Lay Out, Jamrnn Road, Near Bus stand, Buldhana, Dist. Buldana",9834374310,dr.ajitshirsat@rediffmail.com,Private,Camps
345,Lilavati Hospital AND Research Centre Blood Centre,"A 791, Bandra Reclaimation, Bandra (W), Bandra, Dist. Mumbai",226568220,bloodbank@lilavatihospital.com,Charitable/Vol,Camps
346,Lokamanya Tssia  Blood Centre,"TSSIA house,road no 16,next to janta sahkari bank , petrol pump,wagle estate, , Thane, Dist. Thane",8652248607,lokmanyatssiabb1@gmail.com,Charitable/Vol,Camps
347,"L.T.M.G., Municipal Hospital Blood Centre","Lokmanya Tilak Gen. Mun. Hospital premise, Sion, Sion, Dist. Mumbai","9167059179,022-2406 3494 / 95   Ext:3469",bloodbank2009@gmail.com,Govt.,Camps
348,Mahalaxmi Blood Centre,"1082/K/1A, B Ward, Second floor, west side, Mahila Sankul building, Mirajkar Tikati, Kolhapur, Karveer, Dist. Kolhapur",9561076070,mahalaxmibloodcentrekop@gmail.com,Charitable/Vol,Camps
349,"Maharashtra Bloodbank, Component AND Apheresis Center","C- wing, 107/207, Kuldeep Arcade, Near Navli Railway Phatak, Station Road, Palghar (w), PALGHAR, Dist. Palghar",9049522578,maharashtrabloodbank@gmail.com,Charitable/Vol,Camps
350,Mahatma Basaveshwar Blood Centre,"S.No.355/2A/5, New S.No. 25/2A/5, Old plot no.10 Hall, 1st floor and 2nd floor, Sonamata Nagar, Near Mashal vasti, vijapur road city, Dist. Solapur",9850220047,mahatmabasaveshwarbcsol21@gmail.com,Charitable/Vol,Camps
351,"Mahatma Gandhi Hospital Blood Centre, New Pargaon","At.Post-New Pargaon, TQ-Hatkanangale, Dist. Kolhapur, Hatkanangale, Dist. Kolhapur","9823427765, 0230 / 2477081 - 83/2477308",mghbbnewpargaon@gmail.com,Charitable/Vol,Camps
352,"Majalgaon Blood Centre, Blood Component and Apheresis Centre, Majalgaon","Plot No: 2&3, Survey No:371, 2nd floor, Naik Complex,bypass road, Majalgaon, Tal: Majalgaon, Dis: Beed, Dist. Bid",8412844170,majalgaonbloodcentre@gmail.com,Charitable/Vol,Camps
353,"Manas Blood Centre, Miraj","Marathe Road, Final Plot No-143, Sangli Miraj , Marathe Road, Final Plot No-143, Sangli Miraj , Miraj, Dist. Sangli",8087120128,manasbloodbankmiraj@gmail.com,Charitable/Vol,Camps
354,Manikraj Bahuudeshiya Samajsevi Sanstha Shivneri Blood Centre,"Milkat No.4540/4247, CTS No.30, Soham Nagari, R.C.C building, A-wing, 2nd floor, Shop no.205, Manchar, Ambegaon, Dist. Pune",9975564130,shivneribloodcentre@gmail.com,Charitable/Vol,Camps
355,Masina Hospital Blood Centre,"Sant Savta Marg, Byculla (E), Byculla, Dist. Mumbai",9004362229,bloodbank@masinahospital.coml.com,Charitable/Vol,Camps
356,Mauli Blood Centre,"529 B/1, Parasnis Colony, Behind Dr. Pendharkar Hospital, Near Monark Hotel, Sadar Bazar, Powai Naka, , Satara, Dist. Satara","9422038970,02162-222586 / 222031",maulibloodbank@gmail.com,Charitable/Vol,Camps
357,"Maya Blood Centre, Badlapur (W), Tal. Ambernath, Dist.Thane","Shop no. 16-22, Safalya Extension, B-wing, Next to Forest Office, Badlapur (W), Tal. Ambernath, Dist.Thane - 421503, Badlapur (W), Dist. Thane",9766103661,mayabcbadlapur@gmail.com,Charitable/Vol,Camps
358,"Medical Superitendant, Government Hospital Blood Centre(Khamgaon)","General Hospital Shegaon Road, Khamgaon, Khamgaon, Dist. Buldana",7588846831,ms_ghkhamgaon@rediffmail.com,Govt.,Camps
359,"Medical Superitendant, Saibai Mote General Hospital Blood Centre, Shegaon","Saibai Mote General Hospital Shegaon, Shegaon, Dist. Buldana","9422915379, 07265-252020",saibai_mote@rediffmail.com,Govt.,Camps
360,"Medical Supritentent Sub-District (Rural) Hospital Blood Centre, Aheri","Sub-District (Rural) Hospital Blood Bank, Aheri, At Post & Tal. Aheri, Dist. Gadchiroli, Aheri, Dist. Gadchiroli",9423121760,ms.sdhaheri@gmail.com,Govt.,Camps
361,"Meenatai Thackeray Blood Centre, Goregaon, Mumbai, Managed by Prabodhan Goregaon","CTS No.899/C, First floor, Village Pahadi, Sitaram Patkar Marg, Goregaon West, Mumbai, Mumbai, Dist. Mumbai",8348348282,Prabodhan_bloodbank@rediffmail.com,Charitable/Vol,Camps
362,"Mgm Blood Centre , Kamothe","MGM Blood bank , Kamothe , Raigarh, Dist. Raigarh",9975236056,mgmhkbb@gmail.com,Charitable/Vol,Camps
363,Mimer Medical College And Garware Blood Centre,"Near HP Gas godown, Talegaon Chakan Road, Talegaon Dabhade , Pune, Dist. Pune",8087099051,kumarpr56@gmail.com,Charitable/Vol,Camps
364,"Miraj Medical Centre, Wanless Hospital Blood Centre, Miraj","Wanless Hospital Blood bank , Medical Centre, Sangli, Dist. Sangli","9604542311,0233-2223291-95",wanlesshospital@dataone.in,Charitable/Vol,Camps
365,"M.M.Patel Public Charitable Trust,  Ashwini Rural Medical College AND Hospital Blood Centre","Ashwini Rural Medical College, Hospital & Research Centre Blood Bank. Gat No. 261,262 At post �Kumbhari, Akkalkot Road, , South Solapur, Dist. Solapur",9850087068,sagarmhetre@rediffmail.com,Charitable/Vol,Camps
